"ctd_file","cruise","event","lat","lon","trip","id","date","time","dens1","oxy1","theta1","sal1","scan","temp1","pressure","cond1","bottle","dens2","oxy2","theta2","sal2","temp2","cond2","fluor1","fluor2","ph","opt_phase","opt_temp"
1266610," BCD2012666",4,44.2675,-63.3195,10,306830," ""May 02 2012"""," ""12:27:50""",24.1388,7.08546,,30.5832,2859,5.3427,1.752,2.98935,10,,,,,,,2.0588,,,,""
1266610," BCD2012666",4,44.2675,-63.3195,9,306829," ""May 02 2012"""," ""12:28:02""",24.1484,7.38591,,30.5843,2956,5.2626,5.245,2.98313,9,,,,,,,2.9648,,,,""
1266610," BCD2012666",4,44.2675,-63.3195,8,306828," ""May 02 2012"""," ""12:28:15""",24.2342,7.79958,,30.6289,3061,4.7838,10.239,2.948668,8,,,,,,,3.8933,,,,""
1266610," BCD2012666",4,44.2675,-63.3195,7,306827," ""May 02 2012"""," ""12:28:38""",24.6717,8.31809,,30.947,3245,2.7424,20.546,2.812717,7,,,,,,,2.5288,,,,""
1266610," BCD2012666",4,44.2675,-63.3195,6,306826," ""May 02 2012"""," ""12:28:59""",24.7293,8.36159,,31.019,3415,2.7416,30.482,2.819017,6,,,,,,,1.5958,,,,""
1266610," BCD2012666",4,44.2675,-63.3195,5,306825," ""May 02 2012"""," ""12:29:17""",25.0201,8.11072,,31.6223,3558,4.7997,40.721,3.037735,5,,,,,,,2.8506,,,,""
1266610," BCD2012666",4,44.2675,-63.3195,4,306824," ""May 02 2012"""," ""12:29:36""",25.2594,8.0452,,31.9232,3707,4.7933,50.729,3.063759,4,,,,,,,2.7744,,,,""
1266610," BCD2012666",4,44.2675,-63.3195,3,306823," ""May 02 2012"""," ""12:30:25""",25.841,5.61639,,32.7726,4101,5.6068,75.809,3.208146,3,,,,,,,0.3349,,,,""
1266610," BCD2012666",4,44.2675,-63.3195,2,306822," ""May 02 2012"""," ""12:31:19""",26.4455,4.02098,,34.0382,4530,8.4965,100.816,3.581107,2,,,,,,,0.2554,,,,""
1266610," BCD2012666",4,44.2675,-63.3195,1,306821," ""May 02 2012"""," ""12:32:44""",26.7329,3.23732,,34.521,5212,9.0809,141.283,3.682647,1,,,,,,,0.2661,,,,""
1266610," BCD2012666",5,44.2683,-63.3183,10,306840," ""May 15 2012"""," ""12:30:40""",24.0374,6.86525,,30.7241,4763,7.1166,1.86,3.146883,10,,,,,,,0.8564,,,,""
1266610," BCD2012666",5,44.2683,-63.3183,9,306839," ""May 15 2012"""," ""12:30:47""",24.0422,7.16071,,30.7252,4818,7.0868,5.428,3.144684,9,,,,,,,1.1761,,,,""
1266610," BCD2012666",5,44.2683,-63.3183,8,306838," ""May 15 2012"""," ""12:30:57""",24.4608,7.64753,,31.0962,4903,6.0735,10.381,3.095175,8,,,,,,,1.7227,,,,""
1266610," BCD2012666",5,44.2683,-63.3183,7,306837," ""May 15 2012"""," ""12:31:22""",24.6513,7.63069,,31.5002,5098,7.0921,20.296,3.217335,7,,,,,,,2.2394,,,,""
1266610," BCD2012666",5,44.2683,-63.3183,6,306836," ""May 15 2012"""," ""12:31:48""",24.8881,7.88169,,31.6352,5311,6.0585,30.749,3.143239,6,,,,,,,2.7748,,,,""
1266610," BCD2012666",5,44.2683,-63.3183,5,306835," ""May 15 2012"""," ""12:32:10""",25.1236,8.08964,,31.8416,5485,5.4405,40.796,3.110292,5,,,,,,,3.8798,,,,""
1266610," BCD2012666",5,44.2683,-63.3183,4,306834," ""May 15 2012"""," ""12:32:31""",25.352,7.71045,,32.1139,5657,5.3273,50.671,3.1252,4,,,,,,,4.4923,,,,""
1266610," BCD2012666",5,44.2683,-63.3183,3,306833," ""May 15 2012"""," ""12:33:30""",25.9094,5.2409,,32.8265,6126,5.3861,75.642,3.19391,3,,,,,,,0.3373,,,,""
1266610," BCD2012666",5,44.2683,-63.3183,2,306832," ""May 15 2012"""," ""12:34:39""",26.38,4.11373,,34.1299,6675,9.3664,101.134,3.66964,2,,,,,,,0.235,,,,""
1266610," BCD2012666",5,44.2683,-63.3183,1,306831," ""May 15 2012"""," ""12:36:03""",26.7157,3.38738,,34.5952,7350,9.5425,140.798,3.732726,1,,,,,,,0.2264,,,,""
1266610," BCD2012666",6,44.2683,-63.3183,10,306850," ""Jun 18 2012"""," ""12:34:20""",23.6004,6.33932,,30.909,2871,10.9526,1.885,3.487204,10,,,,,,,0.6787,,,,""
1266610," BCD2012666",6,44.2683,-63.3183,9,306849," ""Jun 18 2012"""," ""12:34:28""",23.6687,6.418,,31.0445,2935,11.1669,5.286,3.51954,9,,,,,,,1.0681,,,,""
1266610," BCD2012666",6,44.2683,-63.3183,8,306848," ""Jun 18 2012"""," ""12:34:39""",23.7321,6.69171,,31.2048,3024,11.5136,10.397,3.566129,8,,,,,,,1.8885,,,,""
1266610," BCD2012666",6,44.2683,-63.3183,7,306847," ""Jun 18 2012"""," ""12:35:01""",23.7754,6.98883,,31.1872,3199,11.1928,20.596,3.536983,7,,,,,,,2.9345,,,,""
1266610," BCD2012666",6,44.2683,-63.3183,6,306846," ""Jun 18 2012"""," ""12:35:24""",24.2445,7.75075,,31.0646,3381,7.5733,30.465,3.217678,6,,,,,,,5.1616,,,,""
1266610," BCD2012666",6,44.2683,-63.3183,5,306845," ""Jun 18 2012"""," ""12:35:46""",24.7386,7.81849,,31.5297,3559,6.597,40.779,3.17928,5,,,,,,,7.9308,,,,""
1266610," BCD2012666",6,44.2683,-63.3183,4,306844," ""Jun 18 2012"""," ""12:36:06""",24.9648,7.7422,,31.6396,3719,5.4327,50.445,3.092215,4,,,,,,,4.9663,,,,""
1266610," BCD2012666",6,44.2683,-63.3183,3,306843," ""Jun 18 2012"""," ""12:37:00""",25.7022,5.87942,,32.5083,4151,4.9889,75.575,3.13215,3,,,,,,,0.9809,,,,""
