"ctd_file","cruise","event","lat","lon","trip","id","date","time","dens1","oxy1","theta1","sal1","scan","temp1","pressure","cond1","bottle","dens2","oxy2","theta2","sal2","temp2","cond2","fluor1","fluor2","ph","opt_phase","opt_temp"
1066960," BCD2010669",4,44.9333,-66.85,5,240835," ""Apr 14 2010"""," ""13:22:23""",24.4122,7.45164,,30.8037,1915,4.3905,2.282,2.93182,5,,,,,,,0.7773,"","","",""
1066960," BCD2010669",4,44.9333,-66.85,4,240834," ""Apr 14 2010"""," ""13:22:42""",24.4542,7.36658,,30.8477,2069,4.32,10.162,2.930268,4,,,,,,,1.1468,"","","",""
1066960," BCD2010669",4,44.9333,-66.85,3,240833," ""Apr 14 2010"""," ""13:23:15""",24.5092,7.32356,,30.9159,2335,4.3116,25.538,2.936104,3,,,,,,,0.8818,"","","",""
1066960," BCD2010669",4,44.9333,-66.85,2,240832," ""Apr 14 2010"""," ""13:24:11""",24.6986,7.22987,,31.1344,2781,4.1486,50.689,2.942724,2,,,,,,,0.6383,"","","",""
1066960," BCD2010669",4,44.9333,-66.85,1,240831," ""Apr 14 2010"""," ""13:26:17""",25.1702,7.08232,,31.6928,3789,3.8595,96.082,2.968631,1,,,,,,,0.37,"","","",""
1066960," BCD2010669",5,44.9333,-66.85,5,240840," ""May 12 2010"""," ""13:29:48""",24.6727,7.20356,,31.2952,1602,5.6032,2.035,3.073783,5,,,,,,,0.3453,"","","",""
1066960," BCD2010669",5,44.9333,-66.85,4,240839," ""May 12 2010"""," ""13:30:07""",24.6882,7.18799,,31.3071,1754,5.5506,10.437,3.070845,4,,,,,,,0.4735,"","","",""
1066960," BCD2010669",5,44.9333,-66.85,3,240838," ""May 12 2010"""," ""13:30:36""",24.7726,7.18944,,31.3961,1991,5.4269,25.739,3.069154,3,,,,,,,0.4551,"","","",""
1066960," BCD2010669",5,44.9333,-66.85,2,240837," ""May 12 2010"""," ""13:31:29""",24.849,7.1627,,31.478,2413,5.325,50.914,3.069019,2,,,,,,,0.4886,"","","",""
1066960," BCD2010669",5,44.9333,-66.85,1,240836," ""May 12 2010"""," ""13:33:10""",25.1703,6.99746,,31.8187,3218,4.855,96.218,3.061775,1,,,,,,,0.2817,"","","",""
1066960," BCD2010669",6,44.9333,-66.85,5,240845," ""Jun 14 2010"""," ""12:54:58""",24.3548,7.06826,,31.4049,1883,8.6679,1.724,3.341074,5,,,,,,,1.0509,"","","",""
1066960," BCD2010669",6,44.9333,-66.85,4,240844," ""Jun 14 2010"""," ""12:55:28""",24.3644,7.04983,,31.4105,2124,8.6339,10.312,3.339082,4,,,,,,,1.4291,"","","",""
1066960," BCD2010669",6,44.9333,-66.85,3,240843," ""Jun 14 2010"""," ""12:55:57""",24.3754,7.00329,,31.4168,2359,8.5938,25.935,3.336927,3,,,,,,,1.3493,"","","",""
1066960," BCD2010669",6,44.9333,-66.85,2,240842," ""Jun 14 2010"""," ""12:56:26""",24.6603,6.58141,,31.664,2589,7.9685,51.233,3.308204,2,,,,,,,0.6771,"","","",""
1066960," BCD2010669",6,44.9333,-66.85,1,240841," ""Jun 14 2010"""," ""12:57:18""",25.1737,6.19231,,32.1726,3002,7.1479,91.996,3.287135,1,,,,,,,0.3873,"","","",""
1066960," BCD2010669",7,44.9333,-66.85,5,240850," ""Jul 14 2010"""," ""12:52:39""",24.1926,5.14021,,31.6687,2110,10.9457,2.367,3.563716,5,,,,,,,0.3075,"","","",""
1066960," BCD2010669",7,44.9333,-66.85,4,240849," ""Jul 14 2010"""," ""12:52:49""",24.2075,6.29526,,31.6934,2187,10.9715,10.974,3.568839,4,,,,,,,1.6435,"","","",""
1066960," BCD2010669",7,44.9333,-66.85,3,240848," ""Jul 14 2010"""," ""12:53:06""",24.226,6.35858,,31.7043,2325,10.9154,26.061,3.565669,3,,,,,,,1.6133,"","","",""
1066960," BCD2010669",7,44.9333,-66.85,2,240847," ""Jul 14 2010"""," ""12:53:36""",24.4106,6.20211,,31.8342,2561,10.4305,51.111,3.53738,2,,,,,,,1.1253,"","","",""
1066960," BCD2010669",7,44.9333,-66.85,1,240846," ""Jul 14 2010"""," ""12:54:25""",24.7959,6.03525,,32.1055,2955,9.3725,90.285,3.473353,1,,,,,,,0.7493,"","","",""
1066960," BCD2010669",8,44.9333,-66.85,5,240855," ""Aug 16 2010"""," ""12:54:03""",24.1738,4.55214,,31.9915,1840,12.4282,1.119,3.727865,5,,,,,,,0.2892,"","","",""
1066960," BCD2010669",8,44.9333,-66.85,4,240854," ""Aug 16 2010"""," ""12:54:15""",24.2896,5.59399,,32.0688,1935,12.1324,11.281,3.709976,4,,,,,,,1.7103,"","","",""
1066960," BCD2010669",8,44.9333,-66.85,3,240853," ""Aug 16 2010"""," ""12:54:31""",24.3921,5.54723,,32.1334,2057,11.8517,25.982,3.692256,3,,,,,,,1.0563,"","","",""
1066960," BCD2010669",8,44.9333,-66.85,2,240852," ""Aug 16 2010"""," ""12:55:00""",24.4862,5.5554,,32.1919,2289,11.5882,51.089,3.675853,2,,,,,,,0.9044,"","","",""
1066960," BCD2010669",8,44.9333,-66.85,1,240851," ""Aug 16 2010"""," ""12:55:45""",24.7894,5.38375,,32.3949,2652,10.7724,83.612,3.625181,1,,,,,,,0.5316,"","","",""
1066960," BCD2010669",9,44.9333,-66.85,5,240860," ""Sep 21 2010"""," ""12:53:45""",24.3396,5.17349,,32.2402,697,12.5693,1.152,3.766581,5,,,,,,,0.244,"","","",""
1066960," BCD2010669",9,44.9333,-66.85,4,240859," ""Sep 21 2010"""," ""12:57:01""",24.4475,5.59171,,32.3857,2265,12.5961,10.813,3.78469,4,,,,,,,1.8406,"","","",""
