"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","gmt_doy","O2_Electrode","o2_ml","o2_um","Salinity_Sal_PSS","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"06-Jan-2010","13:56","SIGMA-T",306670,1,0.452877685263158,0.224740551311842,35.4995400893515,27.626653769186,19.4373485094643,12.4698657571982,6,93.2623996652484,7.113,317.5,30.793,3.921,5.4095,0.709,0.5715,NA
"06-Jan-2010","13:56","SIGMA-T",306669,5,0.396267974605263,0.249082726894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.899,5.4075,0.695,0.8985,NA
"06-Jan-2010","13:56","SIGMA-T",306668,10,0.40435507612782,0.251751470397181,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9625,5.3585,0.704,0.625,NA
"06-Jan-2010","13:56","SIGMA-T",306667,20,0.40435507612782,0.262507315422181,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,5.3425,0.694,0.6485,NA
"06-Jan-2010","13:56","SIGMA-T",306666,30,0.388180873082707,0.246413983392293,NA,NA,NA,NA,NA,97.6630320353404,7.337,328,31.106,3.8195,4.8255,0.6895,0.702,NA
"06-Jan-2010","13:56","SIGMA-T",306665,40,0.355832466992481,0.235739009382519,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7975,4.6455,0.6725,0.45,NA
"06-Jan-2010","13:56","SIGMA-T",306664,50,0.355832466992481,0.268006544457519,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6315,4.54,0.66,0.5655,NA
"06-Jan-2010","13:56","SIGMA-T",306663,75,0.246934363533835,0.192818069966165,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8695,4.4915,0.6875,0.837,NA
"06-Jan-2010","13:56","SIGMA-T",306662,100,0.117189189473684,0.111036757026316,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7995,7.244,0.8335,0.4855,NA
"06-Jan-2010","13:56","SIGMA-T",306661,140,0.0816138998120301,0.16887799268797,NA,NA,NA,NA,NA,85.3455667570916,6.1455,274.5,32.795,9.479,10.4165,1.054,0.712,NA
"16-Feb-2010","15:20","Dominion Victory",306680,2,0.436703482218045,1.01533559615696,26.4392955231485,34.192266144864,18.4491054234305,20.8366762328321,47,90.2918906126011,7.366,329,30.946,4.7325,7.739,0.821,0.63,0.205
"16-Feb-2010","15:20","Dominion Victory",306679,5,0.533748700488722,0.961313757986279,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.302,7.196,0.76,0.775,0.2005
"16-Feb-2010","15:20","Dominion Victory",306678,10,0.558010005056391,0.947808298443609,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6795,7.724,0.8225,0.3735,0.2055
"16-Feb-2010","15:20","Dominion Victory",306677,20,0.331571162424812,0.195465243800188,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4745,7.416,0.783,0.596,0.1965
"16-Feb-2010","15:20","Dominion Victory",306676,30,0.638881020281955,-0.0150420088319549,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.84,7.315,0.8225,0.971,0.198
