"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int_140m","Phaeo_int_140m","Chl_int_50m","Phaeo_int_50m","gmt_doy","O2_Electrode","o2_ml","o2_um","Salinity_Sal_PSS","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"23-Jan-2012","13:33","SIGMA-T","306800",1,0.844125642857143,0.272752733142857,46.9555377412892,30.3754726807108,37.1772963214286,17.9849981755714,23,91.8984094529815,6.871,307,30.947,2.8885,3.5525,0.5375,NA,0.231
"23-Jan-2012","13:33","SIGMA-T","306799",5,0.887047285714285,0.279105136285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9055,3.578,0.519,NA,0.228
"23-Jan-2012","13:33","SIGMA-T","306798",10,0.844125642857143,0.272752733142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8395,3.4725,0.5065,NA,0.2205
"23-Jan-2012","13:33","SIGMA-T","306797",20,0.844125642857143,0.354876143142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2925,2.7385,0.4435,NA,0.202
"23-Jan-2012","13:33","SIGMA-T","306796",30,0.758282357142857,0.457144110857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.302,2.433,0.4355,NA,0.2655
"23-Jan-2012","13:33","SIGMA-T","306795",40,0.572288571428571,0.380342984571429,NA,NA,NA,NA,NA,87.8182623034591,6.375,284.5,31.894,2.3025,2.4395,0.416,NA,0.272
"23-Jan-2012","13:33","SIGMA-T","306794",50,0.515059714285714,0.388297795714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.308,2.381,0.4265,NA,0.2785
"23-Jan-2012","13:33","SIGMA-T","306793",75,0.0790531358885017,0.113343224111498,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4295,8.293,0.85,NA,0.1275
"23-Jan-2012","13:33","SIGMA-T","306792",100,0.0332023170731707,0.106557302926829,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6475,9.395,0.92,NA,0.125
"23-Jan-2012","13:33","SIGMA-T","306791",140,0.0142295644599303,0.0620029555400697,NA,NA,NA,NA,NA,65.6391620920249,4.531,202.5,33.619,13.7585,13.576,1.1685,NA,0.135
"11-Feb-2012","03:19","NEEDLER","384440",2,0.546582089552239,0.167527410447761,56.0237364738806,25.7952702761194,36.4570253731343,11.3059138768657,42,92.0713201127944,7.232,323,30.5196285247803,3.797,5.1225,0.5435,NA,0.0325
"11-Feb-2012","03:19","NEEDLER","384439",5,0.601240298507463,0.167800701492537,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8195,5.028,0.5685,NA,0.04
"11-Feb-2012","03:19","NEEDLER","384438",10,0.491923880597015,0.222185619402985,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8285,5.0555,0.5635,NA,0.043
"11-Feb-2012","03:19","NEEDLER","384437",20,0.683227611940298,0.159055388059702,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.717,4.7805,0.558,NA,0.048
"11-Feb-2012","03:19","NEEDLER","384436",30,0.737885820895522,0.250881179104478,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.278,4.1895,0.543,NA,0.0485
"11-Feb-2012","03:19","NEEDLER","384435",40,0.942854104477612,0.283949395522388,NA,NA,NA,NA,NA,90.2197803481983,6.792,303,31.3643741607666,3.026,3.6025,0.4975,NA,0.104
"11-Feb-2012","03:19","NEEDLER","384434",50,0.956518656716418,0.288595343283582,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3805,2.48,0.4765,NA,0.105
"11-Feb-2012","03:19","lost","384433",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.532,7.847,0.979,0.475,0.148
"11-Feb-2012","03:19","lost","384432",100,0.0435650373134328,0.107528762686567,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9145,8.685,0.8355,NA,0.056
"11-Feb-2012","03:19","lost","384431",141,0.0307517910447761,0.0585309089552239,NA,NA,NA,NA,NA,65.4569382551315,4.4605,199.5,33.5908355712891,13.592,13.1975,1.1375,NA,0.0645
"19-Feb-2012","04:58","NEEDLER","384490",2,0.491923880597015,0.167254119402985,54.0268673507463,32.6717852742537,32.0707041044776,14.0168243955224,50,95.6104711436882,7.598,339,30.4436721801758,3.4855,4.7315,0.589,NA,0.0725
"19-Feb-2012","04:58","NEEDLER","384489",5,0.573911194029851,0.195129805970149,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7855,5.117,0.5945,NA,0.0795
"19-Feb-2012","04:58","NEEDLER","384488",10,0.546582089552239,0.222458910447761,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.777,5.531,0.609,NA,0.079
"19-Feb-2012","04:58","NEEDLER","384487",20,0.560246641791045,0.227104858208955,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8345,5.114,0.618,NA,0.0765
"19-Feb-2012","04:58","NEEDLER","384486",30,0.642233955223881,0.273291044776119,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.917,5.2485,0.608,NA,0.075
"19-Feb-2012","04:58","NEEDLER","384485",40,0.669563059701493,0.319203940298507,NA,NA,NA,NA,NA,94.7073557580734,7.3825,329.5,30.7796573638916,3.6065,4.4445,0.544,NA,0.066
"19-Feb-2012","04:58","NEEDLER","384484",50,1.03850597014925,0.554507529850746,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.217,2.266,0.5085,NA,0.0535
"19-Feb-2012","04:58","NEEDLER","384483",75,0.223173134328358,0.248664465671642,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0485,7.3545,0.7285,NA,0
"19-Feb-2012","04:58","NEEDLER","384482",100,0.0666288805970149,0.115370469402985,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.363,11.6565,0.9475,NA,0
"19-Feb-2012","04:58","NEEDLER","384481",156,0.0615035820895522,0.0878732429104478,NA,NA,NA,NA,NA,63.1249767055868,4.2115,188,34.126,15.2405,13.608,1.196,NA,0
"05-Mar-2012","08:15","NEEDLER","385018",1,0.450930223880597,0.299800276119403,26.9897171641791,31.0151680858209,16.2278126865672,10.7753485634328,65,90.21,7.374,329.5,30.3969116210938,NA,NA,NA,NA,NA
"05-Mar-2012","08:15","NEEDLER","385017",5,0.437265671641791,0.258533328358209,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.113,6.847,0.708,NA,0.0605
"05-Mar-2012","08:15","NEEDLER","385016",10,0.464594776119403,0.176272723880597,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2665,6.946,0.725,NA,0.0615
"05-Mar-2012","08:15","NEEDLER","385015",20,0.357077014925373,0.241026985074627,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2625,6.8955,0.7275,NA,0.058
"05-Mar-2012","08:15","NEEDLER","385014",30,0.26780776119403,0.21067543880597,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6425,5.93,0.6555,NA,0.0405
"05-Mar-2012","08:15","NEEDLER","385013",40,0.198376119402985,0.173777480597015,NA,NA,NA,NA,NA,89.57,7.134,318.5,33.3082580566406,5.3065,6.4575,0.727,NA,0.0445
"05-Mar-2012","08:15","NEEDLER","385012",50,0.238051343283582,0.227140656716418,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.521,5.455,0.6445,NA,0.0305
"05-Mar-2012","08:15","NEEDLER","385011",76,0.20333552238806,0.26850207761194,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7965,13.1545,0.7435,NA,0.058
"05-Mar-2012","08:15","NEEDLER","385010",100,0.0495940298507463,0.256103570149254,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5345,11.364,1.064,NA,0.008
"05-Mar-2012","08:15","NEEDLER","385009",172,0.0545534328358209,0.118232167164179,NA,NA,NA,NA,NA,62.420162115018,4.1795,186.5,33.9851570129395,14.7195,14.0825,1.2725,NA,0.005
"18-Mar-2012","05:37","NEEDLER","384538",1,1.68207578571429,0.390241582285714,83.532751347561,38.788348304439,72.5319800278746,23.0943062491254,78,95.9876264968004,7.379,329.5,31.062,2.296,3.6685,0.5005,0.472,0.188
"18-Mar-2012","05:37","NEEDLER","384537",5,3.2410728554007,0.385482538599304,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0315,3.0425,0.4565,0.473,0.1685
"18-Mar-2012","05:37","NEEDLER","384536",10,1.87424507142857,0.523758500571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1855,3.4245,0.4615,0.4805,0.196
"18-Mar-2012","05:37","NEEDLER","384535",20,2.1031605,0.590487348000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8785,2.6985,0.46,0.486,0.1915
"18-Mar-2012","05:37","NEEDLER","384534",30,1.07304107142857,0.273782852571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9155,3.4295,0.5455,0.5735,0.212
"18-Mar-2012","05:37","NEEDLER","384533",40,0.529366928571429,0.488963355428571,NA,NA,NA,NA,NA,90.8951602515603,6.7095,300,31.65,3.5535,3.4515,0.5865,0.604,0.2665
"18-Mar-2012","05:37","NEEDLER","384532",50,0.357680357142857,0.545677152857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.155,3.303,0.5585,0.5835,0.276
"18-Mar-2012","05:37","NEEDLER","384531",75,0.132809268292683,0.175750931707317,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.618,9.204,0.894,0.3395,0.116
"18-Mar-2012","05:37","NEEDLER","384530",100,0.0679856968641115,0.131670903135889,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.625,11.136,1.005,0.441,0.1045
"18-Mar-2012","05:37","NEEDLER","384529",175,NA,NA,NA,NA,NA,NA,NA,63.037325750638,4.202,187.5,34.037,15.2035,14.1675,1.1515,0.292,0.1235
"29-Mar-2012","08:17","SIGMA-T","306810",1,7.57532475,1.653585174,402.671578587544,92.8637048934565,367.282668147648,61.9714960658519,89,103.221247807365,8.173,365,30.679,0,1.1145,0.3585,NA,0.1035
"29-Mar-2012","08:17","SIGMA-T","306809",5,8.19371860714286,1.74510746485715,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.1545,0.386,NA,0.105
"29-Mar-2012","08:17","SIGMA-T","306808",10,8.657514,1.458791109,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,1.1875,0.3885,NA,0.109
"29-Mar-2012","08:17","SIGMA-T","306807",20,8.34831707142857,1.23555092657143,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1005,1.2855,0.3825,NA,0.108
"29-Mar-2012","08:17","SIGMA-T","306806",30,8.34831707142857,1.41302996357143,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,1.3675,0.385,NA,0.117
"29-Mar-2012","08:17","SIGMA-T","306805",40,7.05651305226481,0.997265809735191,NA,NA,NA,NA,NA,93.9888064244986,7.294,325.5,30.692,0.5285,1.886,0.442,NA,0.125
"29-Mar-2012","08:17","SIGMA-T","306804",50,1.04442664285714,0.351671327142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4275,4.221,0.582,NA,0.1865
"29-Mar-2012","08:17","SIGMA-T","306803",75,0.535676210801394,0.505019049198606,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.734,4.05,0.654,NA,0.2315
"29-Mar-2012","08:17","SIGMA-T","306802",100,0.181305794425087,0.258624474574913,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2835,7.7725,0.86,NA,0.181
"29-Mar-2012","08:17","SIGMA-T","306801",140,0.152461690766551,0.27327727923345,NA,NA,NA,NA,NA,79.2825240185785,5.683,254,32.574,8.618,9.3805,0.998,NA,0.1795
"18-Apr-2012","12:57","SIGMA-T","306820",1,0.136514914564687,-0.00315384456468675,23.1107727995321,31.8211294967179,9.88759643409276,5.00059948715724,109,107.035934426688,8.001,357,30.578,0,0.1195,0.3195,NA,0.093
"18-Apr-2012","12:57","SIGMA-T","306819",5,0.168648606590724,0.0178936171592759,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.167,0.3495,NA,0.0895
"18-Apr-2012","12:57","SIGMA-T","306818",10,0.202378327908869,0.00903619234113104,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.1925,0.4205,NA,0.1025
