"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","j_day","O2_Electrode","o2_ml","o2_um","NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F","Salinity_Sal_PSS"
"14-Jan-2013","13:33","Viola M Davidson",370525,1,0.598903208955224,0.540353091044776,42.0048932462687,43.9668666537313,23.0640557462687,24.2683956537313,14,NA,NA,NA,8.395,7.305,0.89,0.7815,0.155,32.409
"14-Jan-2013","13:33","Viola M Davidson",370524,10,0.414625298507463,0.427189701492537,NA,NA,NA,NA,NA,NA,NA,NA,7.775,6.75,0.9105,0.4525,0.145,NA
"14-Jan-2013","13:33","Viola M Davidson",370523,25,0.464882910447761,0.511622489552238,NA,NA,NA,NA,NA,NA,NA,NA,7.635,6.515,0.872,0.548,0.14,NA
"14-Jan-2013","13:33","Viola M Davidson",370522,50,0.439754104477612,0.475018195522388,NA,NA,NA,NA,NA,NA,NA,NA,7.445,6.565,0.873,0.4645,0.14,NA
"14-Jan-2013","13:33","Viola M Davidson",370521,95,0.402060895522388,0.400469404477612,NA,NA,NA,NA,NA,NA,NA,NA,8.135,6.92,0.76,0.439,0.125,32.559
"11-Feb-2013","15:11","Viola M Davidson",370530,1,0.335050746268657,0.315952853731343,29.9095613059702,44.1926070940298,15.9630739925373,22.1515031574627,42,NA,NA,NA,8.11,7.51,1.0155,1.2605,0.15,32.439
"11-Feb-2013","15:11","Viola M Davidson",370529,10,0.364367686567164,0.452192863432836,NA,NA,NA,NA,NA,NA,NA,NA,7.91,7.44,0.8915,0.5575,0.13,NA
"11-Feb-2013","15:11","Viola M Davidson",370528,25,0.280605,0.4265196,NA,NA,NA,NA,NA,NA,NA,NA,8.24,7.34,0.825,0.553,0.12,NA
"11-Feb-2013","15:11","Viola M Davidson",370527,50,0.330862611940299,0.516564488059701,NA,NA,NA,NA,NA,NA,NA,NA,8.355,7.49,0.84,0.5745,0.125,NA
"11-Feb-2013","15:11","Viola M Davidson",370526,95,0.288981268656716,0.463040131343284,NA,NA,NA,NA,NA,NA,NA,NA,8.105,7.39,0.9155,0.6205,0.15,32.428
"25-Mar-2013","12:27","Viola M Davidson",370535,1,0.456506641791045,0.239393758208955,38.560152761194,25.058612838806,21.6924417537313,12.5048895962687,84,NA,NA,NA,7.595,7.605,0.9255,1.3305,0.175,31.895
"25-Mar-2013","12:27","Viola M Davidson",370534,10,0.418813432835821,0.237802267164179,NA,NA,NA,NA,NA,NA,NA,NA,7.65,7.71,0.875,0.533,0.165,NA
"25-Mar-2013","12:27","Viola M Davidson",370533,25,0.456506641791045,0.250617958208955,NA,NA,NA,NA,NA,NA,NA,NA,7.61,7.59,0.8635,0.52,0.165,NA
"25-Mar-2013","12:27","Viola M Davidson",370532,50,0.402060895522388,0.265779004477612,NA,NA,NA,NA,NA,NA,NA,NA,6.75,6.655,0.8375,0.484,0.16,NA
"25-Mar-2013","12:27","Viola M Davidson",370531,95,0.347615149253731,0.292164250746268,NA,NA,NA,NA,NA,NA,NA,NA,6.03,5.56,0.7675,0.53,0.16,32.173
"15-Apr-2013","11:49","Fundy Spray",370540,1,1.02271970149254,0.507078698507462,41.601032238806,29.138035511194,26.6179816791045,16.0886465708955,105,NA,NA,NA,7.25,10.295,0.949,1.387,0.205,31.299
"15-Apr-2013","11:49","Fundy Spray",370539,10,0.670101492537314,0.334464407462686,NA,NA,NA,NA,NA,NA,NA,NA,6.28,6.95,0.777,0.5695,0.17,NA
"15-Apr-2013","11:49","Fundy Spray",370538,25,0.414625298507463,0.286887201492537,NA,NA,NA,NA,NA,NA,NA,NA,6.305,7.19,0.801,0.6145,0.165,NA
"15-Apr-2013","11:49","Fundy Spray",370537,50,0.372743955223881,0.283871744776119,NA,NA,NA,NA,NA,NA,NA,NA,6.82,7.42,0.8345,0.648,0.175,NA
"15-Apr-2013","11:49","Fundy Spray",370536,95,0.293169402985075,0.296101097014925,NA,NA,NA,NA,NA,NA,NA,NA,7.16,7.135,0.8495,0.682,0.2,31.946
"13-May-2013","12:22","Viola M Davidson",370545,1,9.07720226865672,1.44253917134328,505.214755208955,128.740665591045,357.118399164179,74.3553708358209,133,NA,NA,NA,3.69,3.97,0.6455,0.9885,0.225,30.934
"13-May-2013","12:22","Viola M Davidson",370544,10,9.77230334328358,1.29534129671642,NA,NA,NA,NA,NA,NA,NA,NA,4.17,3.845,0.668,0.585,0.21,NA
"13-May-2013","12:22","Viola M Davidson",370543,25,5.96969158208955,1.48179193791045,NA,NA,NA,NA,NA,NA,NA,NA,5.19,4.715,0.731,0.7225,0.23,NA
"13-May-2013","12:22","Viola M Davidson",370542,50,5.64258519402985,1.69931768597015,NA,NA,NA,NA,NA,NA,NA,NA,5.34,4.805,0.7435,0.59,0.225,NA
"13-May-2013","12:22","Viola M Davidson",370541,95,0.939475074626866,0.717806525373134,NA,NA,NA,NA,NA,NA,NA,NA,6.865,6.3,0.861,0.624,0.24,32.056
"10-Jun-2013","12:18","Viola M Davidson",370550,1,4.97936067226891,0.716706687731093,205.460993962185,78.2103832953151,215.512960537815,92.8175517296849,161,NA,NA,NA,3.78,3.82,0.459,1.081,0.16,30.368
"10-Jun-2013","12:18","Viola M Davidson",370549,10,3.3088654789916,2.4254305210084,NA,NA,NA,NA,NA,NA,NA,NA,3.91,4.005,0.539,1.349,0.155,NA
"10-Jun-2013","12:18","Viola M Davidson",370548,25,2.23228264285714,0.779269577142857,NA,NA,NA,NA,NA,NA,NA,NA,4.295,3.6,0.51,1.1945,0.15,NA
