Fixed Station,Cruise,QAT File
BCD2003666,HUD2003067,067A004.QAT
BCD2005668,TEL2005607,0507668P.QAT
BCD2010666,HUD2010006,006a008.QAT
BCD2006668,TEL2006678,0678127P.QAT
