no_head,,,,,,,,,,,,,,,,,,,,,,,,,
966620, BCD2009666,4,44.2683,-63.3183,10,306640," ""Jun 16 2009"""," ""13:46:40""",23.8943,3.84487, ,31.0486,501,9.8414,1.535,3.406301,10, , , , , , ,3.52E-01,
966620, BCD2009666,4,44.2683,-63.3183,9,306639," ""Jun 16 2009"""," ""13:53:07""",23.8935,3.33557, ,31.0407,3108,9.8084,5.092,3.402864,9, , , , , , ,3.80E-01,
966620, BCD2009666,4,44.2683,-63.3183,8,306638," ""Jun 16 2009"""," ""13:53:20""",23.9196,3.3303, ,31.0672,3217,9.775,9.828,3.402828,8, , , , , , ,4.95E-01,
966620, BCD2009666,4,44.2683,-63.3183,7,306637," ""Jun 16 2009"""," ""13:53:55""",24.4909,3.41448, ,31.5235,3492,8.3768,20.228,3.328397,7, , , , , , ,1.11E+00,
966620, BCD2009666,4,44.2683,-63.3183,6,306636," ""Jun 16 2009"""," ""13:54:23""",25.0892,3.60169, ,31.8817,3719,6.0046,30.465,3.160805,6, , , , , , ,1.30E+00,
966620, BCD2009666,4,44.2683,-63.3183,5,306635," ""Jun 16 2009"""," ""13:54:55""",25.4569,3.46554, ,32.0896,3976,4.1534,40.949,3.024304,5, , , , , , ,1.42E+00,
966620, BCD2009666,4,44.2683,-63.3183,4,306634," ""Jun 16 2009"""," ""13:55:25""",25.7098,3.40115, ,32.2125,4211,2.3934,50.054,2.889352,4, , , , , , ,1.12E+00,
966620, BCD2009666,4,44.2683,-63.3183,3,306633," ""Jun 16 2009"""," ""13:56:43""",25.9619,3.19605, ,32.5437,4835,2.5562,76.049,2.930898,3, , , , , , ,2.84E-01,
966620, BCD2009666,4,44.2683,-63.3183,2,306632," ""Jun 16 2009"""," ""13:58:11""",26.2792,3.09568, ,33.3067,5543,5.4757,101.199,3.244974,2, , , , , , ,3.68E-01,
966620, BCD2009666,4,44.2683,-63.3183,1,306631," ""Jun 16 2009"""," ""14:00:58""",26.6364,2.29924, ,34.014,6873,7.0559,140.764,3.450075,1, , , , , , ,2.03E-01,
966630, BCD2009666,3,44.2683,-63.3183,10,306630," ""Jun 04 2009"""," ""13:22:23""",24.1142,7.08496, ,30.9162,2164,7.6713,1.721,3.210754,10, , , , , , ,2.3446,
966630, BCD2009666,3,44.2683,-63.3183,9,306629," ""Jun 04 2009"""," ""13:22:37""",24.117,7.10188, ,30.9158,2277,7.6496,5.102,3.209054,9, , , , , , ,2.4858,
966630, BCD2009666,3,44.2683,-63.3183,8,306628," ""Jun 04 2009"""," ""13:22:52""",24.1352,7.1031, ,30.9186,2395,7.5321,10.587,3.199754,8, , , , , , ,2.652,
966630, BCD2009666,3,44.2683,-63.3183,7,306627," ""Jun 04 2009"""," ""13:23:14""",24.8705,7.10037, ,31.4986,2572,5.2767,20.439,3.065543,7, , , , , , ,2.8698,
966630, BCD2009666,3,44.2683,-63.3183,6,306626," ""Jun 04 2009"""," ""13:23:52""",25.3327,7.09434, ,31.9116,2878,3.9758,30.55,2.993963,6, , , , , , ,5.4081,
966630, BCD2009666,3,44.2683,-63.3183,5,306625," ""Jun 04 2009"""," ""13:24:30""",25.7129,6.80279, ,32.2603,3184,2.8317,40.841,2.928959,5, , , , , , ,3.3058,
966630, BCD2009666,3,44.2683,-63.3183,4,306624," ""Jun 04 2009"""," ""13:25:10""",25.8362,6.57768, ,32.3095,3498,1.7244,50.588,2.842371,4, , , , , , ,2.2201,
966630, BCD2009666,3,44.2683,-63.3183,3,306623," ""Jun 04 2009"""," ""13:26:30""",26.023,6.19683, ,32.6534,4144,2.8769,75.999,2.966571,3, , , , , , ,2.076,
966630, BCD2009666,3,44.2683,-63.3183,2,306622," ""Jun 04 2009"""," ""13:27:45""",26.2308,5.44175, ,33.1063,4744,4.4861,101.011,3.141978,2, , , , , , ,1.9368,
966630, BCD2009666,3,44.2683,-63.3183,1,306621," ""Jun 04 2009"""," ""13:30:11""",26.5399,4.24064, ,33.8314,5913,6.705,141.399,3.402031,1, , , , , , ,1.8934,
966610,2009666,5,44.2683,-63.3183,10,306650," ""Aug 25 2009"""," ""13:28:13""",22.4302,5.26499, ,31.1826,597,17.6723,1.952,4.109361,10, , , , , , ,-1.5584,9.91E-03
966610,2009666,5,44.2683,-63.3183,9,306649," ""Aug 25 2009"""," ""13:28:18""",22.4658,4.79609, ,31.193,640,17.5561,5.561,4.100229,9, , , , , , ,-1.5595,9.48E-03
966610,2009666,5,44.2683,-63.3183,8,306648," ""Aug 25 2009"""," ""13:28:30""",22.5813,5.13124, ,31.2744,732,17.3309,10.105,4.089597,8, , , , , , ,-1.5584,1.12E-02
966610,2009666,5,44.2683,-63.3183,7,306647," ""Aug 25 2009"""," ""13:35:40""",24.4735,5.41583, ,31.4372,4169,8.0285,20.346,3.2906,7, , , , , , ,-1.5573,3.76E-01
966610,2009666,5,44.2683,-63.3183,6,306646," ""Aug 25 2009"""," ""13:36:00""",25.3253,5.81975, ,31.7713,4336,2.7976,30.449,2.885483,6, , , , , , ,-1.5551,3.03E-01
966610,2009666,5,44.2683,-63.3183,5,306645," ""Aug 25 2009"""," ""13:36:23""",25.5923,6.0944, ,32.0972,4518,2.7133,41.13,2.905819,5, , , , , , ,-1.5584,2.41E-01
966610,2009666,5,44.2683,-63.3183,4,306644," ""Aug 25 2009"""," ""13:36:44""",25.7621,5.99953, ,32.3604,4686,3.1918,50.629,2.967491,4, , , , , , ,-1.5595,1.68E-01
966610,2009666,5,44.2683,-63.3183,3,306643," ""Aug 25 2009"""," ""13:37:32""",26.1299,5.69053, ,32.8369,5070,3.3282,76.528,3.019635,3, , , , , , ,-1.5562,4.48E-02
966610,2009666,5,44.2683,-63.3183,2,306642," ""Aug 25 2009"""," ""13:38:28""",26.4824,4.83512, ,33.6637,5518,6.1244,100.774,3.33354,2, , , , , , ,-1.5562,3.15E-02
966610,2009666,5,44.2683,-63.3183,1,306641," ""Aug 25 2009"""," ""13:40:19""",26.7131,3.80419, ,34.2274,6409,7.702,141.359,3.52822,1, , , , , , ,-1.5573,4.83E-02
966610, BCD2009666,6,43.2683,-63.3183,10,306660," ""Nov 09 2009"""," ""14:47:50""",23.1946,5.49106, ,30.1237,1329,9.7043,1.001,3.303246,10, , , , , , ,3.2637,
966610, BCD2009666,6,43.2683,-63.3183,9,306659," ""Nov 09 2009"""," ""14:50:21""",23.1976,5.52653, ,30.1257,2533,9.6952,5.52,3.302876,9, , , , , , ,4.4652,
966610, BCD2009666,6,43.2683,-63.3183,8,306658," ""Nov 09 2009"""," ""14:50:31""",23.2029,5.52221, ,30.1306,2609,9.6866,10.489,3.302852,8, , , , , , ,6.2887,
966610, BCD2009666,6,43.2683,-63.3183,7,306657," ""Nov 09 2009"""," ""14:50:53""",23.2126,5.51624, ,30.1482,2790,9.7134,20.705,3.307222,7, , , , , , ,5.2148,
966610, BCD2009666,6,43.2683,-63.3183,6,306656," ""Nov 09 2009"""," ""14:51:13""",23.4899,5.46886, ,30.5906,2950,10.1366,30.616,3.387005,6, , , , , , ,2.6766,
966610, BCD2009666,6,43.2683,-63.3183,5,306655," ""Nov 09 2009"""," ""14:51:34""",23.851,5.32301, ,31.1248,3114,10.4708,40.479,3.469317,5, , , , , , ,2.7802,
966610, BCD2009666,6,43.2683,-63.3183,4,306654," ""Nov 09 2009"""," ""14:52:02""",24.0998,5.26788, ,31.4662,3339,10.5731,50.763,3.512879,4, , , , , , ,2.693,
966610, BCD2009666,6,43.2683,-63.3183,3,306653," ""Nov 09 2009"""," ""14:52:59""",25.6718,4.973, ,32.442,3796,4.785,76.185,3.109143,3, , , , , , ,0.8138,
966610, BCD2009666,6,43.2683,-63.3183,2,306652," ""Nov 09 2009"""," ""14:53:57""",26.0436,4.86849, ,32.8689,4260,4.4749,101.376,3.120681,2, , , , , , ,0.8057,
966610, BCD2009666,6,43.2683,-63.3183,1,306651," ""Nov 09 2009"""," ""14:55:41""",26.4092,4.34422, ,33.5931,5093,6.2655,141.719,3.341514,1, , , , , , ,0.7332,
